date,homeTeam,awayTeam,homeScore,awayScore,matchResult
20/05/2023,Ath Bilbao,Celta,2,1,H
20/05/2023,Almeria,Mallorca,3,0,H
20/05/2023,Getafe,Elche,1,1,D
20/05/2023,Barcelona,Sociedad,1,2,A
21/05/2023,Vallecano,Espanol,1,2,A
21/05/2023,Ath Madrid,Osasuna,3,0,H
21/05/2023,Valencia,Real Madrid,1,0,H
21/05/2023,Sevilla,Betis,0,0,D
23/05/2023,Celta,Girona,1,1,D
23/05/2023,Sociedad,Almeria,1,0,H
23/05/2023,Valladolid,Barcelona,3,1,H
24/05/2023,Elche,Sevilla,1,1,D
24/05/2023,Real Madrid,Vallecano,2,1,H
24/05/2023,Villarreal,Cadiz,2,0,H
24/05/2023,Betis,Getafe,0,1,A
24/05/2023,Espanol,Ath Madrid,3,3,D
25/05/2023,Mallorca,Valencia,1,0,H
25/05/2023,Osasuna,Ath Bilbao,2,0,H
27/05/2023,Sevilla,Real Madrid,1,2,A
28/05/2023,Almeria,Valladolid,0,0,D
28/05/2023,Ath Bilbao,Elche,0,1,A
28/05/2023,Ath Madrid,Sociedad,2,1,H
28/05/2023,Barcelona,Mallorca,3,0,H
28/05/2023,Cadiz,Celta,1,0,H
28/05/2023,Getafe,Osasuna,2,1,H
28/05/2023,Girona,Betis,1,2,A
28/05/2023,Valencia,Espanol,2,2,D
28/05/2023,Vallecano,Villarreal,2,1,H
04/06/2023,Mallorca,Vallecano,3,0,H
04/06/2023,Osasuna,Girona,2,1,H
04/06/2023,Real Madrid,Ath Bilbao,1,1,D
04/06/2023,Sociedad,Sevilla,2,1,H
04/06/2023,Villarreal,Ath Madrid,2,2,D
04/06/2023,Betis,Valencia,1,1,D
04/06/2023,Celta,Barcelona,2,1,H
04/06/2023,Elche,Cadiz,1,1,D
04/06/2023,Espanol,Almeria,3,3,D
04/06/2023,Valladolid,Getafe,0,0,D
11/08/2023,Almeria,Vallecano,0,2,A
11/08/2023,Sevilla,Valencia,1,2,A
12/08/2023,Sociedad,Girona,1,1,D
12/08/2023,Las Palmas,Mallorca,1,1,D
12/08/2023,Ath Bilbao,Real Madrid,0,2,A
13/08/2023,Celta,Osasuna,0,2,A
13/08/2023,Villarreal,Betis,1,2,A
13/08/2023,Getafe,Barcelona,0,0,D
14/08/2023,Cadiz,Alaves,1,0,H
14/08/2023,Ath Madrid,Granada,3,1,H
18/08/2023,Mallorca,Villarreal,0,1,A
18/08/2023,Valencia,Las Palmas,1,0,H
19/08/2023,Sociedad,Celta,1,1,D
19/08/2023,Almeria,Real Madrid,1,3,A
19/08/2023,Osasuna,Ath Bilbao,0,2,A
20/08/2023,Girona,Getafe,3,0,H
20/08/2023,Barcelona,Cadiz,2,0,H
20/08/2023,Betis,Ath Madrid,0,0,D
21/08/2023,Alaves,Sevilla,4,3,H
21/08/2023,Granada,Vallecano,0,2,A
25/08/2023,Las Palmas,Sociedad,0,0,D
25/08/2023,Celta,Real Madrid,0,1,A
26/08/2023,Cadiz,Almeria,1,1,D
26/08/2023,Granada,Mallorca,3,2,H
26/08/2023,Sevilla,Girona,1,2,A
27/08/2023,Villarreal,Barcelona,3,4,A
27/08/2023,Valencia,Osasuna,1,2,A
27/08/2023,Ath Bilbao,Betis,4,2,H
28/08/2023,Getafe,Alaves,1,0,H
28/08/2023,Vallecano,Ath Madrid,0,7,A
01/09/2023,Cadiz,Villarreal,3,1,H
01/09/2023,Almeria,Celta,2,3,A
02/09/2023,Sociedad,Granada,5,3,H
02/09/2023,Real Madrid,Getafe,2,1,H
02/09/2023,Alaves,Valencia,1,0,H
02/09/2023,Betis,Vallecano,1,0,H
03/09/2023,Girona,Las Palmas,1,0,H
03/09/2023,Mallorca,Ath Bilbao,0,0,D
03/09/2023,Osasuna,Barcelona,1,2,A
15/09/2023,Vallecano,Alaves,2,0,H
16/09/2023,Ath Bilbao,Cadiz,3,0,H
16/09/2023,Valencia,Ath Madrid,3,0,H
16/09/2023,Celta,Mallorca,0,1,A
16/09/2023,Barcelona,Betis,5,0,H
17/09/2023,Getafe,Osasuna,3,2,H
17/09/2023,Villarreal,Almeria,2,1,H
17/09/2023,Sevilla,Las Palmas,1,0,H
17/09/2023,Real Madrid,Sociedad,2,1,H
18/09/2023,Granada,Girona,2,4,A
22/09/2023,Alaves,Ath Bilbao,0,2,A
23/09/2023,Girona,Mallorca,5,3,H
23/09/2023,Osasuna,Sevilla,0,0,D
23/09/2023,Barcelona,Celta,3,2,H
23/09/2023,Almeria,Valencia,2,2,D
24/09/2023,Sociedad,Getafe,4,3,H
24/09/2023,Vallecano,Villarreal,1,1,D
24/09/2023,Betis,Cadiz,1,1,D
24/09/2023,Las Palmas,Granada,1,0,H
24/09/2023,Ath Madrid,Real Madrid,3,1,H
26/09/2023,Sevilla,Almeria,5,1,H
26/09/2023,Mallorca,Barcelona,2,2,D
27/09/2023,Ath Bilbao,Getafe,2,2,D
27/09/2023,Real Madrid,Las Palmas,2,0,H
27/09/2023,Villarreal,Girona,1,2,A
27/09/2023,Cadiz,Vallecano,0,0,D
27/09/2023,Valencia,Sociedad,0,1,A
28/09/2023,Celta,Alaves,1,1,D
28/09/2023,Granada,Betis,1,1,D
28/09/2023,Osasuna,Ath Madrid,0,2,A
29/09/2023,Barcelona,Sevilla,1,0,H
30/09/2023,Getafe,Villarreal,0,0,D
30/09/2023,Vallecano,Mallorca,2,2,D
30/09/2023,Girona,Real Madrid,0,3,A
30/09/2023,Sociedad,Ath Bilbao,3,0,H
01/10/2023,Almeria,Granada,3,3,D
01/10/2023,Alaves,Osasuna,0,2,A
01/10/2023,Ath Madrid,Cadiz,3,2,H
01/10/2023,Betis,Valencia,3,0,H
02/10/2023,Las Palmas,Celta,2,1,H
06/10/2023,Ath Bilbao,Almeria,3,0,H
07/10/2023,Cadiz,Girona,0,1,A
07/10/2023,Real Madrid,Osasuna,4,0,H
07/10/2023,Mallorca,Valencia,1,1,D
07/10/2023,Sevilla,Vallecano,2,2,D
08/10/2023,Villarreal,Las Palmas,1,2,A
08/10/2023,Ath Madrid,Sociedad,2,1,H
08/10/2023,Alaves,Betis,1,1,D
08/10/2023,Celta,Getafe,2,2,D
08/10/2023,Granada,Barcelona,2,2,D
20/10/2023,Osasuna,Granada,2,0,H
21/10/2023,Sociedad,Mallorca,1,0,H
21/10/2023,Getafe,Betis,1,1,D
21/10/2023,Sevilla,Real Madrid,1,1,D
21/10/2023,Celta,Ath Madrid,0,3,A
22/10/2023,Las Palmas,Vallecano,0,1,A
22/10/2023,Girona,Almeria,5,2,H
22/10/2023,Villarreal,Alaves,1,1,D
22/10/2023,Barcelona,Ath Bilbao,1,0,H
23/10/2023,Valencia,Cadiz,2,0,H
27/10/2023,Girona,Celta,1,0,H
28/10/2023,Almeria,Las Palmas,1,2,A
28/10/2023,Barcelona,Real Madrid,1,2,A
28/10/2023,Mallorca,Getafe,0,0,D
28/10/2023,Cadiz,Sevilla,2,2,D
29/10/2023,Betis,Osasuna,2,1,H
29/10/2023,Vallecano,Sociedad,2,2,D
29/10/2023,Ath Bilbao,Valencia,2,2,D
29/10/2023,Ath Madrid,Alaves,2,1,H
30/10/2023,Granada,Villarreal,2,3,A
03/11/2023,Las Palmas,Ath Madrid,2,1,H
04/11/2023,Osasuna,Girona,2,4,A
04/11/2023,Betis,Mallorca,2,0,H
04/11/2023,Celta,Sevilla,1,1,D
04/11/2023,Sociedad,Barcelona,0,1,A
05/11/2023,Alaves,Almeria,1,0,H
05/11/2023,Valencia,Granada,1,0,H
05/11/2023,Villarreal,Ath Bilbao,2,3,A
05/11/2023,Real Madrid,Vallecano,0,0,D
06/11/2023,Getafe,Cadiz,1,0,H
10/11/2023,Ath Bilbao,Celta,4,3,H
11/11/2023,Vallecano,Girona,1,2,A
11/11/2023,Almeria,Sociedad,1,3,A
11/11/2023,Granada,Getafe,1,1,D
11/11/2023,Osasuna,Las Palmas,1,1,D
11/11/2023,Real Madrid,Valencia,5,1,H
12/11/2023,Barcelona,Alaves,2,1,H
12/11/2023,Sevilla,Betis,1,1,D
12/11/2023,Ath Madrid,Villarreal,3,1,H
24/11/2023,Alaves,Granada,3,1,H
25/11/2023,Vallecano,Barcelona,1,1,D
25/11/2023,Valencia,Celta,0,0,D
25/11/2023,Getafe,Almeria,2,1,H
25/11/2023,Ath Madrid,Mallorca,1,0,H
26/11/2023,Villarreal,Osasuna,3,1,H
26/11/2023,Sociedad,Sevilla,2,1,H
26/11/2023,Cadiz,Real Madrid,0,3,A
26/11/2023,Betis,Las Palmas,1,0,H
27/11/2023,Girona,Ath Bilbao,1,1,D
29/11/2023,Mallorca,Cadiz,1,1,D
01/12/2023,Las Palmas,Getafe,2,0,H
02/12/2023,Girona,Valencia,2,1,H
02/12/2023,Ath Bilbao,Vallecano,4,0,H
02/12/2023,Real Madrid,Granada,2,0,H
02/12/2023,Osasuna,Sociedad,1,1,D
03/12/2023,Mallorca,Alaves,0,0,D
03/12/2023,Almeria,Betis,0,0,D
03/12/2023,Sevilla,Villarreal,1,1,D
03/12/2023,Barcelona,Ath Madrid,1,0,H
04/12/2023,Celta,Cadiz,1,1,D
08/12/2023,Getafe,Valencia,1,0,H
09/12/2023,Alaves,Las Palmas,0,1,A
09/12/2023,Betis,Real Madrid,1,1,D
09/12/2023,Villarreal,Sociedad,0,3,A
09/12/2023,Mallorca,Sevilla,1,0,H
10/12/2023,Ath Madrid,Almeria,2,1,H
10/12/2023,Cadiz,Osasuna,1,1,D
10/12/2023,Barcelona,Girona,2,4,A
11/12/2023,Granada,Ath Bilbao,1,1,D
11/12/2023,Vallecano,Celta,0,0,D
15/12/2023,Osasuna,Vallecano,1,0,H
16/12/2023,Celta,Granada,1,0,H
16/12/2023,Ath Bilbao,Ath Madrid,2,0,H
16/12/2023,Sevilla,Getafe,0,3,A
16/12/2023,Valencia,Barcelona,1,1,D
17/12/2023,Almeria,Mallorca,0,0,D
17/12/2023,Sociedad,Betis,0,0,D
17/12/2023,Las Palmas,Cadiz,1,1,D
17/12/2023,Real Madrid,Villarreal,4,1,H
18/12/2023,Girona,Alaves,3,0,H
19/12/2023,Vallecano,Valencia,0,1,A
19/12/2023,Ath Madrid,Getafe,3,3,D
19/12/2023,Granada,Sevilla,0,3,A
20/12/2023,Barcelona,Almeria,3,2,H
20/12/2023,Ath Bilbao,Las Palmas,1,0,H
20/12/2023,Villarreal,Celta,3,2,H
21/12/2023,Betis,Girona,1,1,D
