date,homeTeam,awayTeam,homeScore,awayScore,matchResult,homeCode,awayCode,dayCode,target,season,homeGoalsForSum,homeGoalsAgainstSum,awayGoalsForSum,awayGoalsAgainstSum,homeWinRateRolling3,awayWinRateRolling3,homeWinRateRolling5,awayWinRateRolling5,homeWinRateRolling10,awayWinRateRolling10,homeWinRateExpanding,awayWinRateExpanding,homePoints,awayPoints,homeTotalPoints,awayTotalPoints,homeAvgGoalsFor,homeAvgGoalsAgainst,awayAvgGoalsFor,awayAvgGoalsAgainst,homeTotalWins,homeTotalLosses,homeTotalDraws,awayTotalWins,awayTotalLosses,awayTotalDraws
2022-10-09,Cadiz,Espanyol,2.0,2.0,D,4,10,6,0,2022,0.0,9.0,4.0,4.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1,1,4,5,0.14285714285714285,2.0,1.2857142857142858,2.0,1,5,1,1,4,2
2022-10-09,Real Sociedad,Villarreal,1.0,0.0,H,14,19,6,1,2022,4.0,6.0,5.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,0.4,3,0,13,12,1.7142857142857142,1.5714285714285714,1.4285714285714286,0.2857142857142857,4,2,1,3,1,3
2022-10-09,FC Barcelona,Celta,1.0,0.0,H,3,1,6,1,2022,7.0,0.0,2.0,7.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,0,19,10,2.7142857142857144,0.14285714285714285,1.2857142857142858,1.8571428571428572,6,0,1,3,3,1
2022-10-10,Elche,Mallorca,1.0,1.0,D,15,12,0,0,2022,2.0,6.0,3.0,4.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,1,1,1,8,0.42857142857142855,2.5714285714285716,0.8571428571428571,1.1428571428571428,0,6,1,2,3,2
2022-10-14,Rayo Vallecano,Getafe,0.0,0.0,D,17,8,4,0,2022,4.0,4.0,4.0,8.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,1,10,7,1.25,1.5,1.0,2.0,3,4,1,2,5,1
2022-10-15,Girona,Cadiz,1.0,1.0,D,16,4,5,0,2022,8.0,8.0,1.0,5.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,1,1,7,5,1.375,1.75,0.375,2.0,2,5,1,1,5,2
2022-10-15,Valencia,Elche,2.0,2.0,D,5,15,5,0,2022,9.0,2.0,1.0,12.0,0.6666666666666666,0.0,0.75,0.0,0.75,0.0,0.75,0.0,1,1,13,2,1.75,1.0,0.5,2.375,4,3,1,0,6,2
2022-10-15,Mallorca,Sevilla,0.0,1.0,A,12,11,5,2,2022,3.0,4.0,6.0,7.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0,3,9,6,0.875,1.125,1.0,1.75,2,3,3,1,4,3
2022-10-15,Ath Bilbao,Ath Madrid,0.0,1.0,A,7,13,5,2,2022,8.0,3.0,7.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.75,0.6,0.75,0.6,0.75,0,3,17,16,2.125,0.625,1.75,0.875,5,1,2,5,2,1
2022-10-16,Celta,Real Sociedad,1.0,2.0,A,1,14,6,2,2022,7.0,6.0,8.0,5.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.5,0.75,0.5,0.75,0,3,10,16,1.125,1.75,1.625,1.375,3,4,1,5,2,1
2022-10-16,Real Madrid,FC Barcelona,3.0,1.0,H,18,3,6,1,2022,7.0,3.0,12.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,3,0,22,22,2.375,0.875,2.5,0.125,7,0,1,7,0,1
2022-10-16,Espanyol,Valladolid,1.0,0.0,H,10,2,6,1,2022,5.0,10.0,5.0,9.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.25,0.0,0.25,3,0,6,8,1.375,2.0,0.75,1.625,1,4,3,2,4,2
2022-10-16,Real Betis,Almeria,3.0,1.0,H,9,6,6,1,2022,7.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0,16,7,1.25,0.625,0.875,1.5,5,2,1,2,5,1
2022-10-17,Villarreal,Osasuna,2.0,0.0,H,19,0,0,1,2022,5.0,1.0,2.0,2.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,3,0,12,13,1.25,0.375,1.125,1.0,3,2,3,4,3,1
2022-10-18,Sevilla,Valencia,1.0,1.0,D,11,5,1,0,2022,2.0,7.0,5.0,6.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.25,0.0,0.25,1,1,9,14,1.0,1.5555555555555556,1.7777777777777777,1.1111111111111112,2,4,3,4,3,2
2022-10-18,Getafe,Ath Bilbao,2.0,2.0,D,8,7,1,0,2022,4.0,8.0,9.0,2.0,0.3333333333333333,0.6666666666666666,0.2,0.6666666666666666,0.2,0.6666666666666666,0.2,0.6666666666666666,1,1,8,17,0.8888888888888888,1.7777777777777777,1.8888888888888888,0.6666666666666666,2,5,2,5,2,2
2022-10-18,Ath Madrid,Rayo Vallecano,1.0,1.0,D,13,17,1,0,2022,7.0,6.0,6.0,8.0,0.6666666666666666,0.0,0.5,0.2,0.5,0.2,0.5,0.2,1,1,19,11,1.6666666666666667,0.7777777777777778,1.1111111111111112,1.3333333333333333,6,2,1,3,4,2
